scenario,model_name,text_column,n_train,n_val,n_test,vectorizer_max_features,vectorizer_ngram_range,accuracy_val,macro_precision_val,macro_recall_val,macro_f1_val,weighted_precision_val,weighted_recall_val,weighted_f1_val,micro_precision_val,micro_recall_val,micro_f1_val,accuracy_test,macro_precision_test,macro_recall_test,macro_f1_test,weighted_precision_test,weighted_recall_test,weighted_f1_test,micro_precision_test,micro_recall_test,micro_f1_test,train_time_sec,val_predict_time_sec,test_predict_time_sec,model_path,vectorizer_path,notes,status
05_Balanced,RandomForest,post_content_for_labeling,23834.0,837.0,838.0,20000.0,"(1, 1)",0.6714456391875747,0.6784194905437447,0.5685872965939912,0.5795625138085282,0.6774860386131836,0.6714456391875747,0.6542189025855698,0.6714456391875747,0.6714456391875747,0.6714456391875747,0.7088305489260143,0.6909558923122733,0.5988246280791605,0.6139094660469855,0.7127644831560704,0.7088305489260143,0.6923009033615655,0.7088305489260143,0.7088305489260143,0.7088305489260143,2.6625921670001844,0.0649709580011403,0.0528963329998077,data/08_Modeling_Results/traditional_ml_hpo_deep/05_Balanced/RandomForest/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/05_Balanced/RandomForest/vectorizer.joblib,"05_Balanced/train: allowed 17810 duplicate record_id rows because balanced train appears oversampled without label/text conflicts; 05_Balanced is an auxiliary balanced-data scenario.; 05_Balanced train split appears label-balanced.; 05_Balanced val/test do not appear perfectly balanced; if only train is balanced, this is a reasonable benchmark setting.",success
04_No_Stopwords,RandomForest,post_content_for_labeling,6698.0,837.0,838.0,20000.0,"(1, 1)",0.6762246117084827,0.7114997396366721,0.5506501933915555,0.5788321146409138,0.6860099755946085,0.6762246117084827,0.6520380974626894,0.6762246117084827,0.6762246117084827,0.6762246117084827,0.6957040572792362,0.7424111257317066,0.5653150074457826,0.5955628609034089,0.7222745137585774,0.6957040572792362,0.6752261694179976,0.6957040572792362,0.6957040572792362,0.6957040572792362,0.9285219999992478,0.0291574580005544,0.031838916000197,data/08_Modeling_Results/traditional_ml_hpo_deep/04_No_Stopwords/RandomForest/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/04_No_Stopwords/RandomForest/vectorizer.joblib,,success
01_Raw_Data,RandomForest,post_content_for_labeling,6698.0,837.0,838.0,50000.0,"(1, 2)",0.6439665471923537,0.7047826828506422,0.5507998072566878,0.5697750815965782,0.6656281399322856,0.6439665471923537,0.6285652488180238,0.6439665471923537,0.6439665471923537,0.6439665471923537,0.6766109785202864,0.6624965749568954,0.5681625154016496,0.5860054789274755,0.672047906474313,0.6766109785202864,0.6593218770429221,0.6766109785202864,0.6766109785202864,0.6766109785202864,2.5222529590000704,0.0260656660000222,0.0268152920000375,data/08_Modeling_Results/traditional_ml_hpo_deep/01_Raw_Data/RandomForest/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/01_Raw_Data/RandomForest/vectorizer.joblib,,success
03_Full_Clean,RandomForest,post_content_for_labeling,6698.0,837.0,838.0,50000.0,"(1, 2)",0.6176821983273596,0.5604477272125584,0.6017208879398739,0.5624164063751229,0.6244547020275103,0.6176821983273596,0.6100570144357512,0.6176821983273596,0.6176821983273596,0.6176821983273596,0.6706443914081146,0.6070294021696984,0.6580936964614958,0.6127814445965425,0.6778170864147222,0.6706443914081146,0.6650845851299018,0.6706443914081146,0.6706443914081146,0.6706443914081146,1.2818345420000696,0.0303852920005738,0.0283672499999738,data/08_Modeling_Results/traditional_ml_hpo_deep/03_Full_Clean/RandomForest/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/03_Full_Clean/RandomForest/vectorizer.joblib,,success
02_Basic_Clean,RandomForest,post_content_for_labeling,6698.0,837.0,838.0,50000.0,"(1, 2)",0.6140979689366786,0.5694773575848571,0.5969428424467909,0.5599634590919775,0.6196371286774773,0.6140979689366786,0.6053719226146533,0.6140979689366786,0.6140979689366786,0.6140979689366786,0.6718377088305489,0.6067762003949185,0.6596163712079097,0.6142167455208694,0.6777538905906366,0.6718377088305489,0.6670173030774801,0.6718377088305489,0.6718377088305489,0.6718377088305489,1.6659516249997068,0.0558863750002274,0.0589998330001435,data/08_Modeling_Results/traditional_ml_hpo_deep/02_Basic_Clean/RandomForest/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/02_Basic_Clean/RandomForest/vectorizer.joblib,,success
03_Full_Clean,XGBoost,post_content_for_labeling,6698.0,837.0,838.0,50000.0,"(1, 2)",0.5985663082437276,0.5390839704352304,0.5755736137352679,0.5457949453977796,0.6267779629871063,0.5985663082437276,0.6052743877194822,0.5985663082437276,0.5985663082437276,0.5985663082437276,0.6575178997613366,0.594489865328139,0.670735991707142,0.6188863421441306,0.6923172107529728,0.6575178997613366,0.6671463356362108,0.6575178997613366,0.6575178997613366,0.6575178997613366,67.37793854200001,0.014515082999992046,0.013757125000012138,data/08_Modeling_Results/traditional_ml_hpo_deep/03_Full_Clean/XGBoost/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/03_Full_Clean/XGBoost/vectorizer.joblib,XGBoost early stopping enabled on validation set only; Repaired final XGBoost from saved deep HPO best hyperparameters; HPO trials were not rerun.,success
05_Balanced,XGBoost,post_content_for_labeling,23834.0,837.0,838.0,50000.0,"(1, 2)",0.6033452807646356,0.5460779258213854,0.549127175495248,0.5378849076588702,0.6088132109178854,0.6033452807646356,0.6010124092036044,0.6033452807646356,0.6033452807646356,0.6033452807646356,0.6646778042959427,0.6014790950761211,0.6384493648030689,0.6136848130258474,0.6748012635862604,0.6646778042959427,0.6664117168493592,0.6646778042959427,0.6646778042959427,0.6646778042959427,108.30529108399998,0.016191625000033127,0.014967500000011569,data/08_Modeling_Results/traditional_ml_hpo_deep/05_Balanced/XGBoost/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/05_Balanced/XGBoost/vectorizer.joblib,"XGBoost early stopping enabled on validation set only; 05_Balanced/train: allowed 17810 duplicate record_id rows because balanced train appears oversampled without label/text conflicts; 05_Balanced is an auxiliary balanced-data scenario.; 05_Balanced train split appears label-balanced.; 05_Balanced val/test do not appear perfectly balanced; if only train is balanced, this is a reasonable benchmark setting.; Repaired final XGBoost from saved deep HPO best hyperparameters; HPO trials were not rerun.",success
02_Basic_Clean,XGBoost,post_content_for_labeling,6698.0,837.0,838.0,50000.0,"(1, 2)",0.5937873357228196,0.5288374360455298,0.5655399884369775,0.536892871153593,0.6198722613275572,0.5937873357228196,0.5999845493771622,0.5937873357228196,0.5937873357228196,0.5937873357228196,0.6599045346062052,0.5891662023915596,0.6626755855723006,0.6144765221946992,0.6901889820896201,0.6599045346062052,0.6684506285672325,0.6599045346062052,0.6599045346062052,0.6599045346062052,66.98056675,0.014859208000018498,0.013311208000004626,data/08_Modeling_Results/traditional_ml_hpo_deep/02_Basic_Clean/XGBoost/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/02_Basic_Clean/XGBoost/vectorizer.joblib,XGBoost early stopping enabled on validation set only; Repaired final XGBoost from saved deep HPO best hyperparameters; HPO trials were not rerun.,success
01_Raw_Data,XGBoost,post_content_for_labeling,6698.0,837.0,838.0,70000.0,"(1, 2)",0.5937873357228196,0.5332313768619468,0.560234139613769,0.5357621455241299,0.6189635441806915,0.5937873357228196,0.5993062605263306,0.5937873357228196,0.5937873357228196,0.5937873357228196,0.6515513126491647,0.587717754159241,0.6716508989027813,0.6177794928924681,0.6847082623240355,0.6515513126491647,0.6603313559723171,0.6515513126491647,0.6515513126491647,0.6515513126491647,79.163109166,0.016917916000011246,0.014919082999995226,data/08_Modeling_Results/traditional_ml_hpo_deep/01_Raw_Data/XGBoost/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/01_Raw_Data/XGBoost/vectorizer.joblib,XGBoost early stopping enabled on validation set only; Repaired final XGBoost from saved deep HPO best hyperparameters; HPO trials were not rerun.,success
04_No_Stopwords,XGBoost,post_content_for_labeling,6698.0,837.0,838.0,70000.0,"(1, 2)",0.5961768219832736,0.5243925043513308,0.5677611741222134,0.5345036745313553,0.6219149655086458,0.5961768219832736,0.600417748103565,0.5961768219832736,0.5961768219832736,0.5961768219832736,0.6575178997613366,0.5805363532244057,0.6612467312022697,0.6078378948583559,0.6951740357902424,0.6575178997613366,0.6679807323417805,0.6575178997613366,0.6575178997613366,0.6575178997613366,81.630174125,0.029125874999976986,0.01532883300001231,data/08_Modeling_Results/traditional_ml_hpo_deep/04_No_Stopwords/XGBoost/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/04_No_Stopwords/XGBoost/vectorizer.joblib,XGBoost early stopping enabled on validation set only; Repaired final XGBoost from saved deep HPO best hyperparameters; HPO trials were not rerun.,success
